property_type,society,sector,price_in_cr,price_per_sqft,total_area_sqft,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,luxury_score,area_per_bedroom,coordinates,latitude,longitude
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,2.56,10535.0,2430.0,3,3,2,3.0,0,0,0,1,0,north-east,Unfurnished,Relatively New,0.4455925218403819,810.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Independent Builder Floor,Super Luxury Fabulous Construction,sector 25,4.4,15471.0,2844.0,4,4,2,2.0,0,0,0,0,0,south-west,Semi-Furnished,New Property,0.8658709386935782,711.0,"28.4844° N, 77.0860° E",28.4844,77.086
Independent Builder Floor,Smart World Gems,sector 89,1.59,10642.0,1494.0,3,3,2,2.0,1,0,0,0,0,east,Unfurnished,New Property,1.091765000031,498.0,"28.4253° N, 76.9439° E",28.4253,76.9439
Flat,mahindra aura,sector 110,2.65,12977.0,2042.0,3,3,3+,12.0,1,1,0,0,0,north,Unfurnished,Relatively New,0.0,680.6666666666666,"28.5145° N, 77.0197° E",28.5145,77.0197
Independent Builder Floor,"B Block Sushant Lok Phase 1, Gurgaon",sector 43,6.25,20833.0,4500.0,4,4,3+,1.0,0,1,0,1,0,west,Semi-Furnished,New Property,0.3898724742646249,1125.0,"28.4629° N, 77.0772° E",28.4629,77.0772
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,5.85,13000.0,4500.0,4,4,3,4.0,0,1,0,1,0,east,Unfurnished,New Property,0.5074425491262856,1125.0,"28.4232° N, 77.0752° E",28.4232,77.0752
Flat,dlf the ultima,sector 81,4.9,17061.0,2872.0,4,4,3,15.0,0,1,0,0,0,north-east,Furnished,Relatively New,0.6109441221403384,718.0,"28.3867° N, 76.9485° E",28.3867,76.9485
Independent House,North Duplex Luxury,sector 25,9.5,49096.0,1935.0,5,5,2,3.0,1,1,0,0,0,north,Unfurnished,Moderately Old,1.0925878890507223,387.0,"28.4844° N, 77.0860° E",28.4844,77.086
Independent Builder Floor,Ansals Palam Vihar,sector 1,2.85,8179.0,3240.0,4,4,2,2.0,1,1,1,1,0,east,Unfurnished,Relatively New,0.6125815374373592,810.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Flat,antriksh heights,sector 84,1.7,8114.0,2095.0,4,4,3,5.0,1,0,0,0,0,east,Unfurnished,Relatively New,0.6109441221403384,523.75,"28.3979° N, 76.9736° E",28.3979,76.9736
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,3.0,9747.0,3078.0,4,5,2,1.0,1,1,1,1,0,west,Unfurnished,Relatively New,0.4455925218403819,769.5,"28.5121° N, 77.0478° E",28.5121,77.0478
Flat,smart world orchard street,sector 61,2.6,15950.0,1630.0,3,4,3,3.0,0,0,0,0,0,east,Unfurnished,New Property,1.2084251420946746,543.3333333333334,"28.4050° N, 77.0963° E",28.405,77.0963
Independent House,Unitech Uniworld Resorts,sector 33,10.77,21311.0,4500.0,5,6,3+,3.0,1,1,1,1,0,north,Semi-Furnished,Relatively New,1.2919836816486492,900.0,"28.4420° N, 77.0207° E",28.442,77.0207
