property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,floornum_category,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession,super_built_up_area_missing,built_up_area_missing,carpet_area_missing,plot_area_missing,area_per_bedroom,dense_house_flag,luxury_category
Independent Builder Floor,Ansals Palam Vihar,sector 1,3.25,3240.0,4,4,2,Low-rise,0,0,0,1,0,north-east,Unfurnished,New Property,0,1,1,1,810.0,0,Semi-Luxury
Independent Builder Floor,Vatika Emilia Floors,sector 83,1.33,1620.0,2,2,3,Low-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,810.0,0,Luxury
Independent Builder Floor,"Block C Sushant Lok Phase - 3, Gurgaon",sector 57,3.9,2700.0,4,4,2,Low-rise,0,1,0,0,0,north-west,Semi-Furnished,New Property,1,1,0,1,675.0,0,Budget
Flat,bestech park view grand spa,sector 81,5.35,4200.0,4,6,3+,High-rise,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,1050.0,0,Semi-Luxury
Flat,ats triumph,sector 104,2.7,2290.0,3,3,3+,Mid-rise,0,1,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,763.3333333333334,0,Luxury
Flat,godrej meridien,sector 106,2.85,1855.0,3,3,3+,High-rise,0,0,0,0,1,north,Unfurnished,New Property,0,1,1,1,618.3333333333334,0,Budget
Flat,tata gurgaon gateway,sector 112,4.1,2575.0,3,4,3,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Moderately Old,0,1,1,1,858.3333333333334,0,Luxury
Independent House,"Sector 40, Gurgaon",sector 40,5.65,1449.0,6,6,2,Low-rise,0,0,0,1,0,north-west,Unfurnished,Old Property,1,1,1,0,241.5,1,Semi-Luxury
Independent Builder Floor,"A Block Sushant Lok Phase 1, Gurgaon",sector 43,3.66,2650.0,4,4,2,Low-rise,1,0,0,0,0,east,Furnished,Relatively New,0,1,1,1,662.5,0,Budget
Flat,puri emerald bay,sector 104,2.42,1700.0,2,3,3,Mid-rise,0,1,0,0,0,not available,Unfurnished,Relatively New,0,1,1,1,850.0,0,Budget
Independent House,"Sector 7, Gurgaon",sector 7,4.6,2250.0,3,3,2,Low-rise,0,0,0,0,0,north-west,Unfurnished,Old Property,1,1,1,0,750.0,0,Budget
Flat,tata primanti,sector 72,5.35,2905.0,4,5,3+,High-rise,0,1,0,0,0,north-east,Unfurnished,Moderately Old,0,1,1,1,726.25,0,Semi-Luxury
Flat,emaar mgf palm studios,sector 66,2.37,1200.0,2,2,2,Mid-rise,0,0,1,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,600.0,0,Semi-Luxury
Independent House,trimurti plots villas,sector 105,0.95,972.0,4,4,3+,Low-rise,1,1,1,1,0,east,Unfurnished,New Property,1,1,1,0,243.0,1,Luxury
Independent Builder Floor,Unitech South City 2,sector 50,3.4,2160.0,3,3,2,Low-rise,0,1,0,1,0,north-east,Unfurnished,New Property,1,1,0,1,720.0,0,Semi-Luxury
Independent Builder Floor,Emaar Emerald Hills,sector 65,2.95,1380.0,3,3,3,Low-rise,0,0,1,0,0,north,Unfurnished,Relatively New,0,1,1,1,460.0,0,Luxury
Independent House,Ultra Luxurious Builder Floor,sector 26,15.0,2550.0,4,5,3+,Low-rise,1,1,1,1,0,north-west,Semi-Furnished,Moderately Old,1,0,0,1,637.5,0,Luxury
Flat,experion windchants,sector 112,7.88,4857.0,4,5,3+,High-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,1214.25,0,Budget
Independent House,"Sector 40, Gurgaon",sector 40,7.5,2367.0,8,8,2,Low-rise,0,0,0,1,0,south-east,Unfurnished,Old Property,1,1,1,0,295.875,0,Semi-Luxury
Flat,signature signum 81,sector 81,1.25,955.0,2,2,2,Low-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,1,0,1,1,477.5,0,Budget
Independent House,"Palam Vihar, Gurgaon",sector 1,8.25,3240.0,6,7,2,Low-rise,1,1,0,1,0,east,Semi-Furnished,Relatively New,1,1,1,0,540.0,0,Semi-Luxury
Independent House,BPTP Amstoria,sector 102,5.7,1854.0,4,3,3,Low-rise,0,0,1,0,0,north-east,Unfurnished,New Property,1,0,0,0,463.5,0,Luxury
Flat,mapsko casa bella,sector 82,2.05,1960.0,3,3,3,Mid-rise,0,0,0,0,0,north-west,Unfurnished,Relatively New,0,1,1,1,653.3333333333334,0,Semi-Luxury
Independent Builder Floor,Malibu Towne,sector 47,2.9,2160.0,3,3,1,Low-rise,0,1,0,0,0,not available,Semi-Furnished,New Property,1,1,0,1,720.0,0,Semi-Luxury
Flat,emaar mgf emerald floors premier,sector 65,3.1,1650.0,3,3,3,Low-rise,1,1,0,0,0,north,Furnished,New Property,0,1,1,1,550.0,0,Semi-Luxury
Flat,umang winter hills,sector 77,1.36,1342.0,2,2,2,Low-rise,0,0,0,0,0,north-east,Unfurnished,Moderately Old,0,1,1,1,671.0,0,Semi-Luxury
Flat,m3m merlin,sector 67,4.85,2400.0,3,4,3,Mid-rise,0,0,0,0,0,not available,Unfurnished,Moderately Old,0,1,1,1,800.0,0,Budget
Flat,experion the heartsong,sector 108,2.35,2003.0,3,4,3+,Mid-rise,0,1,0,0,0,east,Semi-Furnished,Moderately Old,0,1,1,1,667.6666666666666,0,Luxury
Independent Builder Floor,"Sector 65, Gurgaon",sector 65,5.5,2400.0,4,4,2,Low-rise,0,0,0,0,1,east,Unfurnished,New Property,1,1,0,1,600.0,0,Budget
Independent Builder Floor,DLF Gardencity Enclave,sector 93,1.95,1611.0,3,3,2,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,New Property,0,1,1,1,537.0,0,Luxury
Flat,ashiana anmol,sector 33,1.3,1205.0,2,2,2,Mid-rise,0,0,0,0,0,north,Unfurnished,New Property,0,1,1,1,602.5,0,Semi-Luxury
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,2.62,2300.0,3,3,2,Low-rise,0,1,0,0,0,north-west,Semi-Furnished,New Property,0,1,1,1,766.6666666666666,0,Semi-Luxury
Independent Builder Floor,Signature Global Park,sector 33,0.75,822.0,2,2,3,Low-rise,0,0,0,0,1,north-east,Unfurnished,Relatively New,0,1,1,1,411.0,0,Budget
Independent House,"Pataudi Road, Gurgaon",sector 1,0.3,765.0,1,2,1,Low-rise,0,0,0,0,0,not available,Unfurnished,Relatively New,1,1,1,0,765.0,0,Budget
Independent Builder Floor,Smart World Gems,sector 89,1.4,1200.0,2,2,2,Low-rise,1,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,600.0,0,Luxury
Flat,bestech park view spa next,sector 67,2.99,1790.0,3,3,3,Low-rise,0,1,0,0,0,east,Semi-Furnished,Moderately Old,0,1,1,1,596.6666666666666,0,Luxury
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,3.25,1500.0,3,3,2,Low-rise,0,1,0,0,0,north-west,Semi-Furnished,Relatively New,1,1,0,1,500.0,0,Budget
Independent House,Vipul World,sector 48,6.5,1728.0,3,4,3,Low-rise,0,0,0,0,1,north-west,Unfurnished,Relatively New,1,1,1,0,576.0,0,Budget
