property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,floornum_category,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession,super_built_up_area_missing,built_up_area_missing,carpet_area_missing,plot_area_missing,area_per_bedroom,dense_house_flag,luxury_category
Flat,m3m heights,sector 65,3.35,1828.0,3,3,3,High-rise,0,1,0,1,0,north-east,Semi-Furnished,New Property,0,1,1,1,609.3333333333334,0,Luxury
Independent Builder Floor,Luxury Homes By Horiizon Ventures,sector 28,10.9,4518.0,4,5,3,Low-rise,1,1,1,1,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,1129.5,0,Semi-Luxury
Independent Builder Floor,Brand new ultra luxury builder floor,sector 43,3.87,2700.0,4,4,2,Low-rise,0,1,0,0,1,east,Semi-Furnished,New Property,0,1,1,1,675.0,0,Budget
Independent House,Emaar MGF Marbella,sector 66,12.0,2403.0,4,4,3,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,1,1,1,0,600.75,0,Semi-Luxury
Flat,conscient heritage max,sector 102,2.5,1942.0,3,4,3+,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,1,0,1,1,647.3333333333334,0,Budget
Independent Builder Floor,Anant Raj Estates,sector 63,2.6,1665.0,3,3,2,Low-rise,0,0,0,0,1,north,Unfurnished,Relatively New,1,1,0,1,555.0,0,Budget
Flat,tulip orange,sector 70,1.64,1137.0,3,2,2,Mid-rise,0,0,0,0,1,north-east,Unfurnished,Moderately Old,0,1,1,1,379.0,0,Budget
Flat,pareena mi casa,sector 68,1.92,1483.0,3,2,3,Mid-rise,0,0,0,0,1,north-east,Unfurnished,Relatively New,0,1,1,1,494.3333333333333,0,Luxury
Flat,pragati hills cghs society,sector 47,2.91,3000.0,4,4,3+,Low-rise,0,1,0,1,0,north-west,Furnished,Moderately Old,1,0,1,1,750.0,0,Budget
Independent Builder Floor,DLF INDEPENDENT FLOORS,sector 25,4.95,2400.0,4,4,2,Low-rise,1,1,0,0,0,north-east,Furnished,New Property,1,1,0,1,600.0,0,Budget
Independent House,"Ardee City, Gurgaon",sector 52,2.2,2160.0,3,3,1,Low-rise,0,0,0,0,0,not available,Unfurnished,Old Property,1,1,1,0,720.0,0,Budget
Flat,indiabulls enigma,sector 110,4.7,3400.0,4,5,3,Mid-rise,0,1,0,0,0,east,Unfurnished,New Property,0,1,1,1,850.0,0,Budget
Independent House,Raheja Vedaanta,sector 108,2.3,2165.0,3,3,2,Low-rise,0,1,0,0,0,south,Unfurnished,Moderately Old,1,1,1,0,721.6666666666666,0,Budget
Flat,orris carnation residency,sector 85,1.69,1975.0,4,4,3,Mid-rise,0,0,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,493.75,0,Budget
Independent House,Ansals Palam Vihar,sector 1,4.5,1557.0,6,6,3+,Low-rise,1,0,1,0,0,east,Semi-Furnished,Relatively New,1,1,1,0,259.5,1,Semi-Luxury
Flat,experion windchants,sector 112,7.5,4848.0,4,4,3,High-rise,0,1,0,0,0,north,Semi-Furnished,New Property,0,1,1,1,1212.0,0,Semi-Luxury
Flat,hero homes,sector 104,2.41,1689.0,3,3,3,Mid-rise,0,0,0,1,0,north,Unfurnished,New Property,0,1,1,1,563.0,0,Luxury
Independent House,Unitech Deerwood Chase,sector 50,10.2,2160.0,4,4,3,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,Old Property,1,1,1,0,540.0,0,Luxury
Independent House,c-14 greenwood city,sector 45,6.5,3200.0,4,5,3,Low-rise,0,0,0,0,0,east,Semi-Furnished,New Property,1,0,1,0,800.0,0,Semi-Luxury
Flat,sobha city,sector 108,4.8,2448.0,4,4,3,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,612.0,0,Luxury
Flat,mapsko paradise,sector 83,1.33,1340.0,3,3,3,Mid-rise,0,0,0,0,1,north,Unfurnished,Moderately Old,0,1,1,1,446.6666666666667,0,Semi-Luxury
Independent Builder Floor,"Block C Palam Vihar, Gurgaon",sector 1,3.5,2550.0,4,4,3,Low-rise,1,1,0,1,0,east,Semi-Furnished,New Property,1,1,0,1,637.5,0,Budget
Flat,dlf the skycourt,sector 86,2.22,1929.0,3,3,1,Mid-rise,0,0,0,0,0,north-west,Unfurnished,Relatively New,0,1,1,1,643.0,0,Semi-Luxury
Flat,m3m heights,sector 65,3.55,2004.0,3,4,3,High-rise,0,1,0,0,0,north-east,Furnished,New Property,0,1,1,1,668.0,0,Budget
Independent House,National Media Centre,sector 24,8.0,2160.0,4,6,3+,Low-rise,0,1,1,0,0,east,Semi-Furnished,Moderately Old,1,1,1,0,540.0,0,Semi-Luxury
Flat,shapoorji pallonji joyville gurugram,sector 102,2.45,1669.0,3,3,3,Mid-rise,0,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,556.3333333333334,0,Semi-Luxury
Independent Builder Floor,Ansals Palam Vihar,sector 1,2.21,3240.0,3,4,2,Low-rise,0,0,1,1,0,west,Furnished,Moderately Old,1,1,0,1,1080.0,0,Semi-Luxury
Flat,mapsko casa bella,sector 82,1.79,1690.0,3,3,3+,Mid-rise,0,0,0,0,0,south-west,Unfurnished,Relatively New,0,1,1,1,563.3333333333334,0,Budget
Independent House,"Block H, DLF City Phase 1, Gurgaon",sector 26,15.0,3617.0,8,8,3+,Low-rise,0,0,0,0,0,not available,Unfurnished,Old Property,1,1,1,0,452.125,0,Semi-Luxury
Flat,bestech park view residency,sector 1,2.27,1780.0,3,3,3+,Mid-rise,0,0,0,0,0,west,Unfurnished,Moderately Old,0,1,1,1,593.3333333333334,0,Semi-Luxury
Flat,paras dews,sector 106,1.74,1760.0,3,4,3+,Low-rise,1,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,586.6666666666666,0,Luxury
Independent House,"Block E DLF City Phase 1, Gurgaon",sector 26,4.25,981.0,3,3,3+,Low-rise,0,0,1,0,0,west,Unfurnished,Old Property,1,1,1,0,327.0,0,Semi-Luxury
Flat,la vida by tata housing,sector 113,3.27,2217.0,3,3,3,Low-rise,0,1,0,0,0,north-west,Unfurnished,Relatively New,1,0,1,1,739.0,0,Budget
Flat,emaar imperial gardens,sector 102,2.45,2025.0,3,4,3+,Mid-rise,0,1,0,0,0,south,Unfurnished,Relatively New,0,1,1,1,675.0,0,Luxury
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,2.35,2367.0,3,3,2,Low-rise,1,1,0,1,0,west,Unfurnished,Relatively New,1,1,0,1,789.0,0,Budget
Flat,parsvnath green ville,sector 48,2.5,1945.0,3,3,3,Low-rise,0,1,0,0,0,west,Unfurnished,Old Property,0,1,1,1,648.3333333333334,0,Semi-Luxury
Flat,emaar mgf the enclave,sector 66,2.87,1920.0,3,3,2,Mid-rise,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,640.0,0,Luxury
Independent House,Cyber City,sector 24,9.25,2850.0,7,7,3+,Low-rise,0,1,1,0,0,north-east,Semi-Furnished,Moderately Old,1,0,0,0,407.14285714285717,0,Luxury
Flat,ss linden floors,sector 84,2.9,2722.0,4,4,2,Low-rise,0,1,1,0,0,north-east,Unfurnished,New Property,0,1,1,1,680.5,0,Semi-Luxury
Flat,central park flower valley aqua front towers,sector 33,2.62,1789.0,3,3,3+,Mid-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,596.3333333333334,0,Budget
Flat,smart world gems,sector 89,1.6,1496.0,3,3,3,Low-rise,1,1,1,1,0,north-east,Unfurnished,Relatively New,0,1,1,1,498.6666666666667,0,Luxury
Independent House,Raheja Vedaanta,sector 108,2.4,2667.0,3,4,3,High-rise,0,1,0,0,0,north-west,Unfurnished,Moderately Old,1,0,1,1,889.0,0,Budget
Independent House,"Sector 4, Gurgaon",sector 4,4.5,2250.0,4,4,2,Low-rise,0,0,0,1,0,south-east,Unfurnished,Old Property,1,1,1,0,562.5,0,Budget
Flat,emaar mgf the palm drive,sector 66,4.3,2200.0,3,3,3,Mid-rise,0,1,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,733.3333333333334,0,Luxury
Flat,dlf hamilton court,sector 28,7.0,2640.0,3,5,3+,Mid-rise,0,1,0,0,0,north-west,Unfurnished,Old Property,0,1,1,1,880.0,0,Budget
Flat,m3m merlin,sector 67,6.25,3267.0,4,4,3,High-rise,0,1,0,0,1,east,Semi-Furnished,Relatively New,0,1,1,1,816.75,0,Budget
Independent Builder Floor,Unitech South City 2,sector 50,2.9,2160.0,3,3,2,Low-rise,0,0,1,1,0,north-east,Semi-Furnished,New Property,1,1,0,1,720.0,0,Budget
Independent House,DLF New Town Heights 2,sector 86,4.13,1728.0,4,4,3+,Low-rise,1,1,1,1,0,north-east,Unfurnished,Moderately Old,1,1,1,0,432.0,0,Luxury
Flat,dlf the ultima,sector 81,5.15,2763.0,4,4,3+,Mid-rise,0,1,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,690.75,0,Luxury
Flat,smart world gems,sector 89,1.65,1494.0,3,3,3,Low-rise,1,1,0,0,0,north-east,Unfurnished,New Property,1,1,0,1,498.0,0,Budget
Flat,tulip yellow,sector 69,2.49,1704.0,3,3,3+,High-rise,0,0,0,0,0,east,Furnished,New Property,0,1,1,1,568.0,0,Luxury
Independent House,DLF Garden City Floors,sector 92,2.6,2250.0,3,3,3+,Low-rise,1,0,0,0,1,north-east,Unfurnished,Relatively New,1,1,1,0,750.0,0,Semi-Luxury
Independent House,Garden Villas,sector 28,25.0,2844.0,5,8,3+,Low-rise,1,1,0,1,1,east,Unfurnished,Moderately Old,1,1,1,0,568.8,0,Semi-Luxury
Flat,experion windchants,sector 112,5.95,3763.0,3,3,3,Mid-rise,0,1,0,0,0,north,Semi-Furnished,New Property,0,1,1,1,1254.3333333333333,0,Semi-Luxury
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,3.95,2700.0,4,4,1,Low-rise,0,1,0,0,0,not available,Semi-Furnished,New Property,1,1,0,1,675.0,0,Semi-Luxury
Flat,vatika city,sector 49,3.2,1756.0,3,3,3,Low-rise,1,0,1,1,0,south-west,Furnished,Relatively New,0,1,1,1,585.3333333333334,0,Luxury
Independent House,International City by SOBHA Phase 2,sector 109,8.95,4500.0,4,4,2,Low-rise,0,1,0,0,0,east,Unfurnished,New Property,1,1,1,0,1125.0,0,Luxury
Flat,m3m capital,sector 113,3.19,2060.0,4,4,3+,High-rise,1,1,0,0,0,east,Unfurnished,New Property,1,1,0,1,515.0,0,Semi-Luxury
Independent House,Unitech Deerwood Chase,sector 50,14.0,3240.0,3,3,3+,Low-rise,0,1,0,0,0,not available,Unfurnished,Moderately Old,1,1,1,0,1080.0,0,Budget
Flat,emaar mgf the palm drive,sector 66,7.5,3600.0,4,5,3+,Mid-rise,1,1,1,1,0,east,Semi-Furnished,Moderately Old,0,1,1,1,900.0,0,Luxury
Flat,hero homes,sector 104,2.5,1690.0,3,3,3+,Mid-rise,0,0,0,0,0,north,Unfurnished,New Property,1,0,1,1,563.3333333333334,0,Budget
Flat,ats triumph,sector 104,3.85,3150.0,4,4,3+,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,787.5,0,Budget
Independent House,Ansals Palam Vihar,sector 1,15.0,7200.0,7,8,3+,Low-rise,1,0,1,1,0,east,Semi-Furnished,Relatively New,1,1,1,0,1028.5714285714287,0,Luxury
Flat,godrej oasis,sector 88,1.85,1616.0,2,2,3,Mid-rise,1,0,0,0,0,not available,Unfurnished,Relatively New,0,1,1,1,808.0,0,Budget
Flat,shapoorji pallonji joyville gurugram,sector 102,3.1,2162.0,4,4,3+,Mid-rise,0,0,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,540.5,0,Semi-Luxury
Independent House,"Sector 10, Gurgaon",sector 10,2.2,980.0,4,4,3+,Low-rise,0,0,0,0,0,not available,Unfurnished,Old Property,1,0,1,1,245.0,1,Budget
Independent House,Unitech Uniworld Resorts,sector 33,14.0,4518.0,5,5,3+,Low-rise,1,1,1,1,0,north,Unfurnished,Moderately Old,1,0,1,0,903.6,0,Luxury
Flat,godrej meridien,sector 106,2.7,1625.0,3,3,3,High-rise,0,0,0,1,0,north-east,Unfurnished,New Property,0,1,1,1,541.6666666666666,0,Semi-Luxury
Independent Builder Floor,"T Block, DLF Phase 3, Gurgaon",sector 24,4.65,2250.0,4,4,2,Low-rise,0,1,0,0,0,north,Unfurnished,New Property,1,1,0,1,562.5,0,Budget
Independent Builder Floor,"Block C Palam Vihar, Gurgaon",sector 1,3.25,3100.0,4,4,2,Low-rise,0,0,0,1,0,west,Unfurnished,New Property,0,1,1,1,775.0,0,Budget
Flat,vatika inxt floors,sector 82,2.4,1850.0,4,3,3+,Low-rise,0,0,0,1,0,north-east,Semi-Furnished,Moderately Old,1,1,0,1,462.5,0,Budget
Flat,mapsko casa bella,sector 82,1.99,1960.0,3,3,3+,Mid-rise,0,0,0,0,0,west,Unfurnished,Moderately Old,0,1,1,1,653.3333333333334,0,Budget
Independent House,"Surat Nagar Phase 2, Gurgaon",sector 104,0.75,900.0,2,2,1,Low-rise,0,0,0,0,0,east,Unfurnished,Moderately Old,1,1,1,0,450.0,0,Budget
Independent House,DLF New Town Heights 2,sector 86,4.9,3307.0,4,6,3+,Low-rise,0,0,0,0,0,east,Unfurnished,Moderately Old,1,1,1,0,826.75,0,Budget
Flat,m3m woodshire,sector 107,1.75,1943.0,3,3,3,Mid-rise,0,0,0,0,0,south,Unfurnished,Relatively New,0,1,1,1,647.6666666666666,0,Budget
Flat,m3m golfestate,sector 65,8.66,3464.0,3,4,2,High-rise,1,1,1,1,0,north,Furnished,Relatively New,0,1,1,1,1154.6666666666667,0,Luxury
Independent House,"Sector 43, Gurgaon",sector 43,3.8,3780.0,4,4,3+,Low-rise,0,0,0,0,0,east,Unfurnished,Relatively New,1,1,1,0,945.0,0,Budget
Flat,experion windchants,sector 112,5.85,3763.0,3,3,3,Mid-rise,0,1,0,1,0,north,Semi-Furnished,New Property,0,1,1,1,1254.3333333333333,0,Semi-Luxury
Flat,emaar mgf emerald floors premier,sector 65,3.67,1975.0,4,4,3+,Low-rise,1,1,0,0,0,west,Furnished,Relatively New,1,1,0,1,493.75,0,Luxury
Independent Builder Floor,"Sector 4, Gurgaon",sector 4,2.5,2682.0,4,4,3,Low-rise,0,0,0,0,0,west,Semi-Furnished,Relatively New,1,1,0,1,670.5,0,Semi-Luxury
Flat,emaar mgf emerald estate,sector 65,2.55,1350.0,3,3,2,Mid-rise,0,1,0,0,0,east,Furnished,Moderately Old,0,1,1,1,450.0,0,Semi-Luxury
Independent House,International City by Sobha Phase 1,sector 109,14.25,3600.0,5,5,3+,Low-rise,1,1,1,1,0,west,Unfurnished,New Property,1,1,1,0,720.0,0,Luxury
Flat,umang winter hills,sector 77,1.92,1822.0,3,3,3,Mid-rise,0,0,0,1,0,north-west,Unfurnished,Moderately Old,0,1,1,1,607.3333333333334,0,Semi-Luxury
Independent House,"Sector 39, Gurgaon",sector 39,9.5,3150.0,10,10,3+,Low-rise,1,1,1,1,0,east,Semi-Furnished,Moderately Old,1,1,1,0,315.0,0,Luxury
Independent House,"Patel Nagar, Gurgaon",sector 15,2.25,1800.0,4,3,3+,Low-rise,1,0,0,1,1,not available,Unfurnished,Moderately Old,1,1,1,0,450.0,0,Budget
Independent House,"Block K1 New Palam Vihar Phase 1, Gurgaon",sector 110,2.9,1845.0,5,5,3+,Low-rise,0,1,1,1,0,north,Furnished,Moderately Old,1,1,1,0,369.0,0,Luxury
Independent House,"Krishna Colony, Gurgaon",sector 7,1.1,1980.0,5,3,3+,Low-rise,0,1,0,1,0,east,Unfurnished,Moderately Old,1,0,1,1,396.0,0,Budget
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,4.33,3000.0,4,4,2,Low-rise,1,1,0,1,0,south-east,Semi-Furnished,New Property,0,1,1,1,750.0,0,Budget
Independent House,"Suncity, Gurgaon",sector 54,13.0,7350.0,5,6,3,Low-rise,0,1,0,1,0,north-east,Semi-Furnished,Relatively New,1,0,0,1,1470.0,0,Luxury
Independent House,"Laxman Vihar Phase 2, Gurgaon",sector 3,0.64,630.0,3,2,1,Low-rise,0,0,0,0,0,east,Unfurnished,Old Property,1,1,1,0,210.0,1,Budget
Flat,unitech harmony,sector 50,4.99,3309.0,4,4,3,Mid-rise,0,1,1,0,0,north,Semi-Furnished,Old Property,0,1,1,1,827.25,0,Luxury
Flat,tulip violet,sector 69,3.2,2010.0,4,4,2,Mid-rise,0,0,0,0,1,north-east,Unfurnished,Relatively New,0,1,1,1,502.5,0,Budget
Flat,tulip purple,sector 69,2.68,2400.0,4,5,3+,Low-rise,0,1,0,0,0,south,Unfurnished,Relatively New,0,1,1,1,600.0,0,Budget
Independent House,International City by Sobha Phase 1,sector 109,15.0,6000.0,5,6,3+,Low-rise,1,1,0,0,0,north-east,Unfurnished,Relatively New,1,0,1,1,1200.0,0,Semi-Luxury
Flat,dlf the skycourt,sector 86,2.3,1929.0,3,3,3,Mid-rise,0,0,0,0,1,north-east,Furnished,Relatively New,0,1,1,1,643.0,0,Luxury
Flat,hero homes,sector 104,2.38,1689.0,3,3,3,High-rise,0,0,0,1,0,north-east,Unfurnished,New Property,0,1,1,1,563.0,0,Semi-Luxury
Independent Builder Floor,"Block G Sector-57, Gurgaon",sector 57,2.0,1200.0,3,3,2,Low-rise,0,0,0,0,0,north,Unfurnished,Relatively New,1,1,0,1,400.0,0,Budget
Independent House,"Block N, New Palam Vihar Phase 1, Gurgaon",sector 110,1.25,774.0,2,1,1,Low-rise,0,0,0,1,0,north,Unfurnished,Relatively New,1,1,1,0,387.0,0,Semi-Luxury
Flat,emaar mgf emerald floors premier,sector 65,3.8,1975.0,4,4,3,Low-rise,1,1,0,0,0,west,Furnished,Relatively New,1,1,0,1,493.75,0,Luxury
Independent Builder Floor,M3M Soulitude,sector 89,1.35,1158.0,2,2,2,Low-rise,1,0,1,1,0,north-east,Unfurnished,New Property,0,1,1,1,579.0,0,Luxury
Flat,bestech park view sanskruti,sector 92,2.83,2325.0,4,3,3+,Mid-rise,0,0,0,0,0,north-west,Unfurnished,Relatively New,0,1,1,1,581.25,0,Luxury
Independent House,"Sector 46, Gurgaon",sector 46,9.0,2367.0,9,9,2,Low-rise,0,0,0,1,0,north-west,Unfurnished,Old Property,1,1,1,0,263.0,1,Semi-Luxury
Independent Builder Floor,"Malibu Town, Gurgaon",sector 47,3.25,2160.0,3,3,2,Low-rise,0,0,0,1,0,north,Semi-Furnished,New Property,1,0,1,1,720.0,0,Budget
Flat,dlf the ultima,sector 81,3.65,2092.0,3,4,3+,Mid-rise,0,1,0,0,0,north-west,Unfurnished,Relatively New,0,1,1,1,697.3333333333334,0,Semi-Luxury
Independent House,North East & Park Facing Corner 18 meter wide road,sector 26,25.0,11000.0,6,10,3+,Low-rise,1,1,1,1,0,north-east,Semi-Furnished,Relatively New,1,1,1,0,1833.3333333333333,0,Semi-Luxury
Flat,mahindra aura,sector 110,2.6,1954.0,3,4,3,Mid-rise,0,1,0,0,0,west,Unfurnished,Relatively New,0,1,1,1,651.3333333333334,0,Semi-Luxury
Independent House,sushant lok 1,sector 43,12.99,3348.0,6,8,3+,Low-rise,1,1,1,1,0,not available,Semi-Furnished,Moderately Old,1,0,1,1,558.0,0,Luxury
Flat,shapoorji pallonji joyville gurugram,sector 102,2.1,1368.0,2,2,2,Mid-rise,0,0,0,0,0,north-east,Unfurnished,New Property,0,1,1,1,684.0,0,Semi-Luxury
Flat,ashiana mulberry,sector 33,1.25,1465.0,2,2,3+,Mid-rise,1,0,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,732.5,0,Luxury
Flat,shapoorji pallonji joyville gurugram,sector 102,3.1,2162.0,4,4,3+,High-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,540.5,0,Budget
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,3.1,3240.0,4,4,2,Low-rise,1,0,0,1,1,north-east,Unfurnished,Relatively New,1,0,1,1,810.0,0,Budget
Independent House,Malibu Towne,sector 47,7.2,2160.0,4,4,3,Low-rise,0,1,1,0,0,east,Unfurnished,Moderately Old,1,0,0,0,540.0,0,Semi-Luxury
Independent House,"Palam Vihar, Gurgaon",sector 1,9.75,4680.0,5,5,2,Low-rise,1,1,1,1,0,east,Semi-Furnished,Relatively New,1,1,1,0,936.0,0,Semi-Luxury
Flat,ss linden floors,sector 84,2.9,2700.0,4,5,3,Low-rise,0,0,0,0,0,north,Unfurnished,New Property,0,1,1,1,675.0,0,Luxury
Independent House,"Urban Estate, Gurgaon",sector 4,8.5,4500.0,4,4,3+,Low-rise,1,0,1,1,0,north-east,Unfurnished,Old Property,1,1,1,0,1125.0,0,Budget
Independent House,"Urban Estate, Gurgaon",sector 4,4.5,2250.0,5,3,2,Low-rise,1,1,0,1,0,north,Unfurnished,Old Property,1,1,1,0,450.0,0,Budget
Flat,ss the leaf,sector 85,1.85,1741.0,2,2,3,High-rise,1,0,0,0,0,north,Semi-Furnished,Relatively New,0,1,1,1,870.5,0,Budget
Independent House,"Sector 31, Gurgaon",sector 31,5.25,1449.0,5,4,3+,Low-rise,0,0,0,0,1,east,Unfurnished,Old Property,1,1,1,0,289.8,0,Semi-Luxury
Independent House,"DLF Phase 1, Gurgaon",sector 26,9.0,2700.0,4,5,3+,Low-rise,0,0,0,0,1,north-east,Unfurnished,Relatively New,1,1,1,0,675.0,0,Budget
Independent House,"Sector 27, Gurgaon",sector 27,9.25,2367.0,4,4,2,Low-rise,0,0,0,1,0,north-east,Unfurnished,Old Property,1,1,1,0,591.75,0,Budget
Independent Builder Floor,"Block B Sushant Lok 3, Gurgaon",sector 57,3.6,2702.0,4,4,2,Low-rise,0,0,0,0,1,east,Semi-Furnished,New Property,0,1,1,1,675.5,0,Budget
Independent House,"Sector 9A, Gurgaon",sector 9,2.3,1076.0,2,2,3,Low-rise,1,0,0,0,0,north-east,Unfurnished,Relatively New,1,1,1,0,538.0,0,Semi-Luxury
Independent House,Unitech Nirvana Birch Court,sector 50,9.75,2160.0,3,3,2,Low-rise,0,1,1,0,0,west,Unfurnished,Moderately Old,1,1,1,0,720.0,0,Luxury
Flat,abhinandan cghs,sector 51,3.2,2450.0,4,4,3+,Mid-rise,0,0,0,0,0,north-east,Furnished,Old Property,0,1,1,1,612.5,0,Budget
Flat,dlf the skycourt,sector 86,2.3,1930.0,3,3,3,Mid-rise,0,0,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,643.3333333333334,0,Semi-Luxury
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,2.85,2430.0,3,3,2,Low-rise,1,0,1,1,0,south,Unfurnished,Relatively New,1,0,1,1,810.0,0,Budget
Flat,ats kocoon,sector 109,2.68,2095.0,3,4,3,Low-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,698.3333333333334,0,Budget
Independent House,urban home,sector 105,0.97,700.0,3,2,1,Low-rise,0,0,0,0,1,north,Unfurnished,Relatively New,1,0,0,0,233.33333333333334,1,Budget
Flat,puri emerald bay,sector 104,3.8,2450.0,3,4,3+,Mid-rise,0,1,0,0,0,east,Unfurnished,New Property,0,1,1,1,816.6666666666666,0,Budget
Flat,signature global park,sector 33,1.04,1120.0,3,2,2,Low-rise,1,1,1,1,0,east,Unfurnished,Relatively New,0,1,1,1,373.3333333333333,0,Semi-Luxury
Independent Builder Floor,Ansal API Esencia,sector 67,2.54,2000.0,4,4,2,Low-rise,0,1,0,1,0,north-east,Semi-Furnished,New Property,1,1,0,1,500.0,0,Luxury
Independent Builder Floor,"DLF Phase 4, Gurgaon",sector 28,11.0,4500.0,4,6,3+,Low-rise,1,1,0,1,1,north-east,Semi-Furnished,New Property,1,1,0,1,1125.0,0,Budget
Flat,central park resorts,sector 48,4.95,1869.0,3,3,3,Low-rise,0,0,0,0,1,west,Unfurnished,Relatively New,0,1,1,1,623.0,0,Luxury
Flat,experion the heartsong,sector 108,1.97,1758.0,3,3,3+,Low-rise,0,1,0,0,0,west,Unfurnished,Moderately Old,0,1,1,1,586.0,0,Budget
Independent House,Emaar MGF Marbella,sector 66,17.5,3150.0,4,5,2,Low-rise,1,1,0,1,0,north-east,Semi-Furnished,Moderately Old,1,1,1,0,787.5,0,Semi-Luxury
Flat,silverglades the melia,sector 33,1.66,1845.0,3,4,3,Mid-rise,1,1,0,1,1,north,Unfurnished,New Property,0,1,1,1,615.0,0,Budget
Independent House,Vatika Independent Floors,sector 82,0.99,1620.0,2,2,2,Low-rise,0,0,0,0,1,north-east,Unfurnished,Moderately Old,1,1,1,0,810.0,0,Semi-Luxury
Flat,gpl eden heights,sector 70,3.0,2190.0,3,4,3,Low-rise,1,1,0,0,0,north-east,Unfurnished,New Property,0,1,1,1,730.0,0,Budget
Independent Builder Floor,"Sushant Lok Phase 3, Gurgaon",sector 57,3.6,2700.0,4,4,2,Low-rise,0,1,0,0,0,not available,Unfurnished,New Property,1,0,1,1,675.0,0,Budget
Independent House,"Malibu Town, Gurgaon",sector 47,11.5,3240.0,5,6,3+,Low-rise,1,1,1,1,0,north-east,Semi-Furnished,Moderately Old,1,1,1,0,648.0,0,Luxury
Flat,sare homes,sector 92,1.8,2057.0,4,4,3,Mid-rise,0,1,0,0,0,not available,Unfurnished,Relatively New,0,1,1,1,514.25,0,Semi-Luxury
Independent House,Arjun Marg/ Sector- 26 Phase- 1/ Golf Course Road,sector 26,43.0,9000.0,7,9,3+,Low-rise,1,1,1,1,0,north-east,Furnished,Moderately Old,1,1,1,0,1285.7142857142858,0,Luxury
Flat,experion windchants,sector 112,7.99,4739.0,4,6,3+,High-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,1184.75,0,Luxury
Independent Builder Floor,vatika P block,sector 84,2.16,2160.0,3,3,2,Low-rise,0,0,0,1,0,east,Semi-Furnished,New Property,0,1,1,1,720.0,0,Budget
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,2.85,2520.0,4,4,2,Low-rise,1,1,1,1,0,south-west,Unfurnished,Relatively New,1,0,1,1,630.0,0,Budget
Independent House,Emaar MGF Marbella,sector 66,17.0,3240.0,5,6,3+,Low-rise,1,1,1,1,0,north,Semi-Furnished,Moderately Old,1,1,1,0,648.0,0,Luxury
Independent House,Ardee City,sector 52,6.5,2160.0,9,9,3+,Low-rise,0,0,0,1,0,north-west,Unfurnished,Moderately Old,1,1,1,0,240.0,1,Budget
Independent Builder Floor,"Sushant Lok Phase 2, Gurgaon",sector 55,3.2,2500.0,4,4,2,Low-rise,0,0,0,1,0,south,Furnished,New Property,0,1,1,1,625.0,0,Luxury
Flat,unitech harmony,sector 50,4.02,2472.0,3,3,3,Mid-rise,0,1,1,0,0,east,Semi-Furnished,Old Property,0,1,1,1,824.0,0,Luxury
Flat,m3m escala,sector 70,2.35,1600.0,2,2,3+,High-rise,1,0,0,0,0,north-west,Unfurnished,Relatively New,0,1,1,1,800.0,0,Budget
Independent Builder Floor,Vipul World,sector 48,2.75,1800.0,3,3,2,Low-rise,0,1,0,0,0,north-east,Unfurnished,New Property,0,1,1,1,600.0,0,Semi-Luxury
Independent Builder Floor,"South City 1, Gurgaon",sector 41,4.2,3250.0,4,5,2,Low-rise,1,1,1,1,0,east,Semi-Furnished,New Property,0,1,1,1,812.5,0,Semi-Luxury
Independent House,DLF City Phase 1,sector 26,5.1,981.0,3,3,3,Low-rise,1,1,0,0,0,east,Unfurnished,Old Property,1,1,1,0,327.0,0,Luxury
Flat,dlf the skycourt,sector 86,2.3,1929.0,3,3,2,Mid-rise,0,0,0,0,1,east,Semi-Furnished,Relatively New,0,1,1,1,643.0,0,Luxury
