property_name,link,society,price,area
"3 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1800-sq-ft-spid-G84497370,Eros Rosewood City,₹4.25 Cr,"₹31,481 /sqft"
"3 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1850-sq-ft-spid-Y84345650,Eros Rosewood City,₹4.6 Cr,"₹30,065 /sqft"
"3 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1700-sq-ft-spid-Y84345612,Eros Rosewood City,₹4.1 Cr,"₹30,370 /sqft"
"3 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1700-sq-ft-spid-L84149074,Eros Rosewood City,₹4.3 Cr,"₹31,851 /sqft"
"11 Bedroom House in Sushant Lok Phase 3, Gurgaon",https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-3-gurgaon-1935-sq-ft-spid-O83940736,STILIT LIFT PARK,₹9.1 Cr,"₹47,028 /sqft"
"10 Bedroom House in Sector 39, Gurgaon",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-39-gurgaon-3150-sq-ft-r2-spid-A78830899,"Sector 39, Gurgaon",₹9.5 Cr,"₹30,159 /sqft"
"6 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-1935-sq-ft-spid-P83900994,18 Mtr East,₹8.25 Cr,"₹42,636 /sqft"
"3 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1850-sq-ft-spid-T83819410,Eros Rosewood City,₹4.85 Cr,"₹31,699 /sqft"
"3 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1650-sq-ft-spid-P83819270,Eros Rosewood City,₹4.35 Cr,"₹32,222 /sqft"
"6 Bedroom House in T Block, DLF Phase 3, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-t-block-dlf-phase-3-gurgaon-2844-sq-ft-spid-W84788764,"T Block, DLF Phase 3, Gurgaon",₹8.5 Cr,"₹29,887 /sqft"
"10 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-2-dlf-phase-2-gurgaon-4518-sq-ft-spid-K84723596,DLF City Plots Phase 2,₹18.5 Cr,"₹40,947 /sqft"
"3 Bedroom House in Block G, Rajendra Park, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-block-g-rajendra-park-gurgaon-750-sq-ft-r1-spid-Q81038267,Vishnu garden 105,₹97.12 Lac,"₹13,489 /sqft"
"10 Bedroom House in Sector 10A, Gurgaon",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-10a-gurgaon-2367-sq-ft-spid-K84004676,"Sector 10A, Gurgaon",₹6.75 Cr,"₹28,517 /sqft"
"9 Bedroom House in Sector 10, Gurgaon",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-sector-10-gurgaon-2160-sq-ft-spid-S84002906,"Sector 10, Gurgaon",₹7 Cr,"₹32,407 /sqft"
"4 Bedroom House in Garden Estate, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-garden-estate-gurgaon-2700-sq-ft-spid-Y83605494,"Garden Estate, Gurgaon",₹13 Cr,"₹48,148 /sqft"
"4 Bedroom House in South City 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-palms-south-city-1-south-city-1-gurgaon-2070-sq-ft-r2-spid-L80221959,Unitech Palms South City 1,₹11 Cr,"₹50,926 /sqft"
"7 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-1557-sq-ft-spid-M84471838,Ansals Palam Vihar,₹4.21 Cr,"₹27,296 /sqft"
"3 Bedroom House in Sector 14, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-gurgaon-2250-sq-ft-spid-I83871970,"Sector 14, Gurgaon",₹5 Cr,"₹22,222 /sqft"
"6 Bedroom House in Sector 31, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-31-gurgaon-1449-sq-ft-spid-Y84831706,"Sector 31, Gurgaon",₹4.25 Cr,"₹29,331 /sqft"
"6 Bedroom House in Sector 15 Part 1, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-1-gurgaon-1836-sq-ft-spid-W84831510,"Sector 15 Part 1, Gurgaon",₹7.4 Cr,"₹40,305 /sqft"
"8 Bedroom House in Sector 52, Gurgaon",https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-sector-52-gurgaon-900-sq-ft-spid-X84830390,"Sector 52, Gurgaon",₹5.25 Cr,"₹58,333 /sqft"
"6 Bedroom House in Sector 46, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-46-gurgaon-1449-sq-ft-spid-A84830038,"Sector 46, Gurgaon",₹5.15 Cr,"₹35,542 /sqft"
"6 Bedroom House in Sector 40, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-1449-sq-ft-spid-A84829504,"Sector 40, Gurgaon",₹5.5 Cr,"₹37,957 /sqft"
"20 Bedroom House in Sector 31, Gurgaon",https://www.99acres.com/20-bhk-bedroom-independent-house-villa-for-sale-in-sector-31-gurgaon-3078-sq-ft-spid-S84806840,"Sector 31, Gurgaon",₹12 Cr,"₹38,986 /sqft"
"6 Bedroom House in Sector 15 Part 1, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-1-gurgaon-1836-sq-ft-spid-E84806434,"Sector 15 Part 1, Gurgaon",₹8 Cr,"₹43,573 /sqft"
"3 Bedroom House in Sector 47, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-47-gurgaon-900-sq-ft-spid-A84805588,"Sector 47, Gurgaon",₹3.75 Cr,"₹41,667 /sqft"
"3 Bedroom House in Sector 39, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-39-gurgaon-900-sq-ft-spid-J84805216,"Sector 39, Gurgaon",₹4 Cr,"₹44,444 /sqft"
"6 Bedroom House in Sector 40, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-1449-sq-ft-spid-G84804756,"Sector 40, Gurgaon",₹5.65 Cr,"₹38,992 /sqft"
"6 Bedroom House in Sector 52, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-52-gurgaon-900-sq-ft-spid-P84802086,"Sector 52, Gurgaon",₹4.25 Cr,"₹47,222 /sqft"
"14 Bedroom House in Sector 52, Gurgaon",https://www.99acres.com/14-bhk-bedroom-independent-house-villa-for-sale-in-sector-52-gurgaon-2367-sq-ft-spid-K84785256,"Sector 52, Gurgaon",₹11 Cr,"₹46,472 /sqft"
"6 Bedroom House in Sector 51, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-51-gurgaon-900-sq-ft-spid-V84784938,"Sector 51, Gurgaon",₹3.8 Cr,"₹42,222 /sqft"
"6 Bedroom House in Sector 40, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-900-sq-ft-spid-Y84784080,"Sector 40, Gurgaon",₹3.25 Cr,"₹36,111 /sqft"
"6 Bedroom House in Sector 39, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-39-gurgaon-1449-sq-ft-spid-W84783774,"Sector 39, Gurgaon",₹5 Cr,"₹34,507 /sqft"
"3 Bedroom House in Sector 47, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-47-gurgaon-900-sq-ft-spid-R84783490,"Sector 47, Gurgaon",₹4.35 Cr,"₹48,333 /sqft"
"6 Bedroom House in Sector 47, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-47-gurgaon-2367-sq-ft-spid-W84782358,"Sector 47, Gurgaon",₹8.25 Cr,"₹34,854 /sqft"
"5 Bedroom House in Sector 46, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-46-gurgaon-900-sq-ft-spid-D84781974,"Sector 46, Gurgaon",₹4.5 Cr,"₹50,000 /sqft"
