property_name,link,society,price,area,areawithtype
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2844-sq-ft-spid-P84393764,ULTRA LUXURIOUS BUILDER FLOOR DLF PHASE 2,₹4.45 Cr,"₹15,646 /sqft","2,844 sqft (264 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Sector 89, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-m3m-soulitude-sector-89-gurgaon-1494-sq-ft-spid-P85106276,M3M Soulitude,₹1.62 Cr,"₹10,843 /sqft","1,494 sqft (139 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-C85389318,"Block C, Sushant Lok Phase 1, Gurgaon",₹4.1 Cr,"₹15,185 /sqft","2,700 sqft (251 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Sector-33 Sohna, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-central-park-flower-valley-aqua-front-towers-sector-33-sohna-gurgaon-1789-sq-ft-spid-K83786410,Central Park Flower Valley Aqua Front Towers,₹2.5 Cr,"₹13,974 /sqft","1,789 sqft (166 sqm) Carpet Area"
"4 BHK Independent Builder Floor in Sector 45, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-45-gurgaon-3078-sq-ft-spid-C85394278,"Sector 45, Gurgaon",₹4.25 Cr,"₹13,807 /sqft","3,078 sqft (286 sqm) Built-up Area"
"4 BHK Independent Builder Floor in Palam Vihar, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-3240-sq-ft-spid-M84796186,Ansals Palam Vihar,₹3.5 Cr,"₹10,802 /sqft","3,240 sqft (301 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Sector 45, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-45-gurgaon-3000-sq-ft-spid-Q85346490,"Sector 45, Gurgaon",₹4 Cr,"₹13,333 /sqft","3,000 sqft (279 sqm) Carpet Area"
"5 BHK Independent Builder Floor in Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-1-gurgaon-3762-sq-ft-spid-E84487316,"Sushant Lok Phase 1, Gurgaon",₹7.49 Cr,"₹19,909 /sqft","3,762 sqft (350 sqm) Super Built-up Area"
"3 BHK Independent Builder Floor in Nirvana Country, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-nirvana-country-gurgaon-2160-sq-ft-spid-R85303412,"Nirvana Country, Gurgaon",₹3.25 Cr,"₹15,046 /sqft","2,160 sqft (201 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-luxury-builder-floor-in-sushant-lok-1-block-c-sushant-lok-phase-1-gurgaon-3762-sq-ft-spid-D85202704,Luxury Builder Floor In Sushant Lok 1,₹5.45 Cr,"₹14,486 /sqft","3,762 sqft (350 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3600-sq-ft-spid-V83535326,"DLF Phase 2, Gurgaon",₹6.5 Cr,"₹18,055 /sqft","3,600 sqft (334 sqm) Carpet Area"
