property_name,link,society,price,area,areawithtype
"3 BHK Flat in Sector 93, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-spaze-privvy-the-address-sector-93-gurgaon-2105-sq-ft-spid-W81457481,Spaze Privvy The Address,₹1.9 Cr,"₹9,026 /sqft","2,105 sqft (196 sqm) Super Built-up Area"
"4 BHK Flat in Sector 74, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-skywalk-sector-74-gurgaon-2074-sq-ft-spid-L82420802,M3M Skywalk,₹3.6 Cr,"₹17,357 /sqft","2,074 sqft (193 sqm) Carpet Area"
"3 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-2802-sq-ft-spid-E84902574,Experion Windchants,₹4.65 Cr,"₹16,595 /sqft","2,802 sqft (260 sqm) Super Built-up Area"
"3 BHK Flat in Sector 90, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-regal-gardens-sector-90-gurgaon-1737-sq-ft-spid-J84717004,DLF Regal Gardens,₹2 Cr,"₹11,514 /sqft","1,737 sqft (161 sqm) Super Built-up Area"
"4 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-4857-sq-ft-r5-spid-F75782355,Experion Windchants,₹7.88 Cr,"₹16,224 /sqft","4,857 sqft (451 sqm) Super Built-up Area"
"4 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-4848-sq-ft-spid-F84695630,Experion Windchants,₹7.75 Cr,"₹16,145 /sqft","4,848 sqft (450 sqm) Super Built-up Area"
"4 BHK Flat in Sector 53, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-parsvnath-exotica-sector-53-gurgaon-3390-sq-ft-spid-S83698522,Parsvnath Exotica,₹10.2 Cr,"₹30,088 /sqft","3,390 sqft (315 sqm) Super Built-up Area"
"2 BHK Flat in Sector 104, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1099-sq-ft-spid-L85229934,Hero Homes,₹1.6 Cr,"₹14,558 /sqft","1,099 sqft (102 sqm) Super Built-up Area"
"3 BHK Flat in Sector 89, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-soulitude-sector-89-gurgaon-1494-sq-ft-spid-T84362422,M3M Soulitude,₹1.6 Cr,"₹10,709 /sqft","1,494 sqft (139 sqm) Super Built-up Area"
"3 BHK Flat in Sector 104, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-2290-sq-ft-spid-Y83271714,ATS Triumph,₹2.7 Cr,"₹11,790 /sqft","2,290 sqft (213 sqm) Super Built-up Area"
"4 BHK Flat in Sector 47, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-unitech-uniworld-gardens-sector-47-gurgaon-2416-sq-ft-spid-F83351288,Unitech Uniworld Gardens,₹3.7 Cr,"₹16,349 /sqft","2,416 sqft (224 sqm) Super Built-up Area"
"3 BHK Flat in Sector 81, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-grand-spa-sector-81-gurgaon-2660-sq-ft-spid-H84107358,Bestech Park View Grand Spa,₹3.54 Cr,"₹13,308 /sqft","2,660 sqft (247 sqm) Super Built-up Area"
"3 BHK Flat in Sector 59, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-2595-sq-ft-spid-J83610628,Conscient Elevate,₹6.35 Cr,"₹48,940 /sqft","2,595 sqft (241 sqm) Super Built-up Area"
"4 BHK Flat in Sector 81, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2872-sq-ft-spid-M84542618,DLF The Ultima,₹5.5 Cr,"₹19,150 /sqft","2,872 sqft (267 sqm) Super Built-up Area"
"3 BHK Flat in Sector 106, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1855-sq-ft-spid-R84925758,Godrej Meridien,₹3 Cr,"₹16,172 /sqft","1,855 sqft (172 sqm) Super Built-up Area"
