property_id,property_type,link,society,sector,price_in_cr,price_per_sqft,areawithtype,plot_area,super_built_up_area,built_up_area,carpet_area,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,features,luxury_score
F84800922,Independent Builder Floor,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-plaza-sector-23-gurgaon-1650-sq-ft-spid-F84800922,Ansal Plaza,sector 23,2.7,16363.0,"1,650 sqft (153 sqm) Carpet Area",,,,1650.0,3,3,2,4,0,0,0,1,0,west,Unfurnished,New Property,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Water purifier', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",0.5099384378801205
Y70304616,Independent Builder Floor,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-palam-vihar-gurgaon-4680-sq-ft-r4-spid-Y70304616,"Palam Vihar, Gurgaon",sector 1,4.5,9615.0,"4,680 sqft (435 sqm) Carpet Area",,,,4680.0,4,4,3+,2,0,0,0,1,1,west,Unfurnished,Relatively New,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'No open drainage around', 'Park', 'Piped-gas', 'Visitor Parking', 'Natural Light', 'Spacious Interiors']",0.2493628396354255
D82589124,Independent House,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-10a-gurgaon-900-sq-ft-spid-D82589124,"Sector 10A, Gurgaon",sector 10,2.5,27778.0,900 sqft (83.61 sqm) Plot Area,900.0,,,,4,4,3+,1,0,0,1,0,0,north-east,Unfurnished,Relatively New,"['No open drainage around', 'Park', 'Visitor Parking', 'Airy Rooms', 'Spacious Interiors', 'Rain Water Harvesting']",0.14107363300428175
V84697548,Flat,https://www.99acres.com/6-bhk-bedroom-apartment-flat-for-sale-in-central-park-resorts-sector-48-gurgaon-7000-sq-ft-spid-V84697548,central park resorts,sector 48,18.0,25714.0,"7,000 sqft (650 sqm) Super Built-up Area",,7000.0,,,6,5,3+,17,1,1,0,1,1,east,Semi-Furnished,Relatively New,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",1.3649117126625225
S78846107,Flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-woodshire-sector-107-gurgaon-1943-sq-ft-r3-spid-S78846107,m3m woodshire,sector 107,1.87,9624.0,"1,943 sqft (181 sqm) Super Built-up Area",,1943.0,,,3,3,3,4,0,0,0,0,0,north,Unfurnished,Relatively New,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",0.19745799308625378
Z84780744,Independent House,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-3240-sq-ft-spid-Z84780744,Emaar MGF Marbella,sector 66,14.0,43210.0,3240 sqft (301.01 sqm) Plot Area,3240.0,,,,4,4,3+,3,0,1,0,1,0,not available,Unfurnished,Relatively New,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Rain Water Harvesting']",0.8813867260549119
R84593272,Independent Builder Floor,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-2160-sq-ft-spid-R84593272,"Sector 57, Gurgaon",sector 57,3.0,14493.0,"2,160 sqft (201 sqm) Super Built-up Area",,2160.0,,,3,3,2,1,0,0,0,0,1,north-east,Semi-Furnished,New Property,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Water purifier', 'Centrally Air Conditioned', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",0.7339993633037767
T84045236,Flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-city-sector-49-gurgaon-1669-sq-ft-spid-T84045236,vatika city,sector 49,3.18,19053.0,"1,669 sqft (155 sqm) Super Built-up Area",,1669.0,,,3,4,3,5,1,1,1,1,0,east,Furnished,Moderately Old,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",1.3649117126625225
F83790700,Flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2003-sq-ft-spid-F83790700,sobha city,sector 108,3.75,29292.0,"2,003 sqft (186 sqm) Super Built-up Area",,2003.0,,,3,4,2,11,0,0,0,0,0,north,Unfurnished,Relatively New,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",0.6276018634651934
O84771154,Independent House,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1950-sq-ft-spid-O84771154,Eros Rosewood City,sector 49,5.21,30467.0,1710 sqft (158.86 sqm) Plot Area | 1950 sqft (181.16 sqm) Built-up Area | 1810 sqft (168.15 sqm) Carpet Area,1710.0,,1950.0,1810.0,3,3,3,2,0,0,0,1,0,north-east,Unfurnished,Moderately Old,"['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Rain Water Harvesting']",0.7589525875378962
